neighborhood_id,name,latitude,longitude,daily_orders
BLR_01,Koramangala,12.9352,77.6245,420
BLR_02,Indiranagar,12.9784,77.6408,380
BLR_03,Whitefield,12.9698,77.7500,480
BLR_04,Electronic City Phase 1,12.8452,77.6602,390
BLR_05,Electronic City Phase 2,12.8398,77.6770,260
BLR_06,HSR Layout,12.9121,77.6446,450
BLR_07,BTM Layout,12.9166,77.6101,310
BLR_08,Jayanagar,12.9308,77.5838,340
BLR_09,JP Nagar,12.9063,77.5857,290
BLR_10,Banashankari,12.9255,77.5468,230
BLR_11,Malleshwaram,13.0031,77.5643,280
BLR_12,Rajajinagar,12.9982,77.5530,260
BLR_13,Basavanagudi,12.9421,77.5753,240
BLR_14,Hebbal,13.0358,77.5970,320
BLR_15,Yelahanka,13.1007,77.5963,270
BLR_16,Bellandur,12.9304,77.6784,460
BLR_17,Sarjapur Road,12.9116,77.6744,350
BLR_18,Marathahalli,12.9591,77.6974,410
BLR_19,MG Road,12.9756,77.6066,310
BLR_20,Shivajinagar,12.9863,77.6022,220
BLR_21,Frazer Town,12.9968,77.6130,190
BLR_22,Kalyan Nagar,13.0221,77.6403,280
BLR_23,Kammanahalli,13.0094,77.6378,210
BLR_24,RT Nagar,13.0247,77.5948,180
BLR_25,Yeshwanthpur,13.0238,77.5529,290
BLR_26,Peenya Industrial,13.0285,77.5197,160
BLR_27,Vijayanagar,12.9719,77.5306,250
BLR_28,Nagarbhavi,12.9610,77.5097,170
BLR_29,Kengeri,12.9177,77.4838,150
BLR_30,Kanakapura Road,12.8702,77.5510,210
BLR_31,Bannerghatta Road,12.8876,77.5971,280
BLR_32,Mahadevapura,12.9901,77.6953,370
BLR_33,KR Puram,13.0075,77.6959,310
BLR_34,Hennur,13.0450,77.6534,220
BLR_35,Vidyaranyapura,13.0783,77.5588,180
BLR_36,Jalahalli,13.0537,77.5412,170
